oclc	authorName	authorDates	ENDFullTitle	pubLocationStatement	pubDateTranscribed	format	formatStatement	paratextTitleControlled	epigraphBoolean	narrativeFormPrimary	narrativeFormAdditional	nonProseForms	inscriptionBoolean	marginaliaBoolean	translationClaimControlled	titleOtherWorks	titleNouns	titleAdjectives	titlePlaces	titleNames	titleVerbs	titleObjects	titleAdverbs	catalogedBy
341668	Swift, Jonathan,	1667-1745.	Travels into several remote nations of the world; by Lemuel Gulliver, first a surgeon, and then a captain of several ships. In four parts. Part I. A voyage to Lilliput. Part II. A voyage to Brobdingnag. Vol. I.	Edinburgh	1770	Duodecimo	In four parts.	To the reader, Letter, Table of contents, Footnotes	0	First-person			1	0			Travel, Nation, World, Surgeon, Captain, Ship, Part, Part, Voyage, Part, Voyage, Volume, Travel, Nation, World, Surgeon, Captain, Ship, Part, Part, Voyage, Part, Voyage, Country, Volume	Several, Remote, Four	Lilliput, Brobdingnag, Laputa, Balnibarbi, Luggnagg, Glubbdubdrib, Japan	Lemuel Gullive, Lemuel Gulliver		Ship, Ship		AFD 5/20/11 Swarthmore College
341670	Swift, Jonathan,	1667-1745.	Travels into remote nations of the world. By Lemuel Gulliver, first a surgeon and then a captain of several ships.	London	1771	Octavo		To the reader, Footnotes	0				1	0			Travel, Nation, World, Surgeon, Captain, Ship	Remote, Several		Lemuel Gulliver		Ship		AFD 6/1/11 Swarthmore College
341672	Fordyce, David,	1711-1751.	The temple of virtue, a dream. Published by James Fordyce, D.D. The second edition.	London	1775			Dedication, Preface, Introduction	1	First-person			0	0			Virtue, Dream, Edition			James Fordyce, D.D.	Publish			AFD 06/10/2011
341673	Scott, Sarah,	1723-1795.	The test of filial duty. In a series of letters between Miss Emilia Leonard, and Miss Charlotte Arlington. A novel. In two volumes. Vol. I.	Dublin	1772	Duodecimo	In two volumes.	Preface	0	Epistolary			1	1			Test, Duty, Series, Letter, Miss, Novel, Volume	Filial, Two		Miss Emilia Leonard, Miss Charlotte Arlington		Letter		MJR 6/2/11 Swarthmore College
341675	Langhorne, John,	1735-1779.	Letters between Theodosius and Constantia. Volume I. Containing those that passed from their first acquaintance to the departure of Theodosius. Now first published from the original manuscripts. [epigraph]. A new edition.	London	1770	Octavo		Dedication, Advertisement, Dedication, Advertisement	1	Epistolary		Verse	0	0			Letter, Volume, Acquaintance, Departure, Manuscript, Edition, Letter, Volume, She, Veil, Edition	First, Original, New, New		Theodosius, Constantia, Theodosius, Constantia	Contain, Pass, Publish, Contain, Pass	Letter, Manuscript, Letter, Veil		AFD 5/18/11 Swarthmore College
341677			Travels into France and Italy. In a series of letters to a lady. In two volumes. Vol. I.	London	1771	Octavo	In two volumes.		0	Epistolary		Verse	0	0			Travel, Series, Letter, Lady, Volume, Volume, Travel, Series, Letter, Lady, Volume, Volume, Travel, Series, Letter, Lady, Volume, Travel, Series, Letter, Lady, Volume	Two, Two	France, Italy, France, Italy, France, Italy, France, Italy			Letter, Letter, Letter, Letter		AFD 05/25/2011 Swarthmore College
341679	Swift, Jonathan,	1667-1745.	Gulliver's travels. Vol. I.	London	1774	Duodecimo	In four parts.	To the reader, Letter, Table of contents, Table of contents, Table of contents, Table of contents	0	First-person			0	0			Travel, Nation, World, Part, Surgeon, Captain, Ship, Volume, Part, Voyage, Country, Houyhnhnm	Several, Remote	Lilliput, Brobdingnag, Laputa	Lemuel Gulliver, Gulliver		Ship		AFD 06/08/2011
341680	Swift, Jonathan,	1667-1745.	Travels into several remote nations of the world. In four parts. By Lemuel Gulliver. First a surgeon, and then a captain of several ships. Volume first.	Edinburgh	1775	Duodecimo	In four parts.	To the reader, Letter, Table of contents, Table of contents, Table of contents, Table of contents	0	First-person			0	0			Travel, Nation, World, Part, Surgeon, Captain, Ship, Volume, Part, Voyage, Country, Houyhnhnm	Several, Remote	Lilliput, Brobdingnag, Laputa	Lemuel Gulliver, Gulliver		Ship		AFD 06/10/2011
341681	Murray, James,	1732-1782.	The travels of the imagination; a true journey from Newcastle to London, in a stage-coach. With observations upon the metropolis. By J. M.	London	1773	Octavo		Copyright statement, Preface, Table of contents	0	First-person			0	0			Travel, Imagination, Journey, Stage-coach, Observation, Metropolis	True	Newcastle, London	J. M.		Stage-coach		AFD 06/07/2011 Swarthmore College
341684	Lady.		The trinket. A novel. By a lady.	London	1774	Duodecimo			0	Epistolary			0	0			Trinket, Novel, Lady							AFD 06/08/2011 Swarthmore College
341686	Sterne, Laurence,	1713-1768.	The life and opinions of Tristram Shandy, gentleman. By the Rev. Mr. Sterne.	London	1781	Octavo	In two volumes.	Dedication	1	First-person			0	0			Life, Opinion, Gentleman, Rev., Mr., Journey, Mr., Volume, Rev.	Sentimental	France, Italy	Tristram Shandy, Rev. Mr. Sterne, Mr. Yorick, Rev. Mr. Sterne				AFD 06/22/2011
341687			The triumph of benevolence; or, the history of Francis Wills. In two volumes. Vol. I.	Dublin	1772	Duodecimo	In two volumes.		0	Third-person	First-person, Epistolary	Poems	1	0			Triumph, Benevolence, History, Volume			Francis Wills				MJR 6/2/11
341690	Parry, James.		The true anti-Pamela: Or, the memoirs of Mr. James Parry, late organist of Ross in Herefordshire. In which are inserted, his amours with the celebrated Miss ----- of Monmouthshire. Written by himself. In two parts compleat. Part I. Memoirs of his life and amours. Part II. A journal of his adventures in a cruise against the Spaniards, on board the Revenge privateer, Capt. Wimble. With his genuine letters of love and gallantry. [Epigraph] The second edition, with additions.	London	1770	Duodecimo	In two parts compleat.	Footnotes	1	First-person	Epistolary	Poem(s)	0	1			Anti-Pamela, Memoir, Mr., Organist, Amour, Miss, Himself, Part, Part, Memoir, Life, Amour, Part, Journal, Adventure, Cruise, Spaniard, Privateer, Capt., Letter, Love, Gallantry, Edition, Addition, Love, Letter, Mr.	True, Anti, Late, Celebrated, Compleat, Revenge, Genuine, Second	Ross, Herefordshire, Monmouthshire	Pamela, Mr. James Parry, Miss -----, Capt. Wimble, Mr. James Parry, Parthenissa		Journal, Privateer, Letter		AFD 05/19/2011 Swarthmore College
341691	Pratt,	1749-1814.	The tutor of truth. By the author of the Pupil of Pleasure, &c. &c. In two volumes. Vol. I.	London	1779	Duodecimo	In two volumes.	Dedication, Preface	1	Epistolary			0	0			Tutor, Truth, Author, Pupil, Pleasure, Pupil of Pleasure, Volume							AFD 06/20/2011
341692			'Twas wrong to marry him; or, the history of Lady Dursley. Vol. I.	London	1773	Duodecimo		To the reader, Advertisement	0	Third-person			0	0			History, Lady	Wrong		Lady Dursley	Is, Marry			AFD 06/07/2011 Swarthmore College
341694	Reeve, Clara,	1729-1807.	The two mentors. In two volumes. Vol. I.	Dublin	1783			Advertisement	1	Epistolary			1	0			Mentor, Story, Author, Baron, Old English Baron	Modern, Old, English						AFD 06/27/2011
341695			Una and Arthur, an allegorical history: the incidents from Spenser. In two volumes. Vol. I.	Cambridge	1779	Duodecimo	In two volumes.	Table of contents, Table of contents, Introduction, Introduction	0	Third-person			1	0	Adaptation		History, Incident, Volume	Allegorical		Una, Arthur, Spenser				AFD 6/20/2011
341697	Simes, Thomas,	fl. 1757-1780.	A true narrative of an unfortunate elopement, in a series of letters. By ****** S----, Esq;	London	1770.0	Octavo		Letter, Errata	1	Epistolary	First-person		0	0			Narrative, Elopement, Series, Letter	True, Unfortunate				Letter		NA 5/19/11 Swarthmore College
341699	Octavia,	fl. 1784.	Unfortunate sensibility; or, the life of Mrs. L******. Written by herself. In a series of sentimental letters. Dedicated to Mr. Yorick, in the Elysian Fields. In two volumes. Vol. I.	London	1784	Octavo	In two volumes.	Dedication, Errata, Errata	0	Epistolary			0	0			Sensibility, Life, Mrs., Herself, Series, Letter, Mr., Volume	Unfortunate, Sentimental	Elysian Fields	Mrs. L******, Mr. Yorick	Write, Dedicate	Letter		AFD 06/28/2011
341702	Lady.		The unfortunate union: or, the test of virtue.  A story founded on facts, and calculated to promote the cause of virtue in younger minds.  Written by a lady.	Dublin	1779	Duodecimo			0	Epistolary		Poems	0	0			Union, Test, Virtue, Story, Fact, Cause, Mind, Lady	Unfortunate, Younger			Found, Calculate, Promote, Write			NA 6/17/2011
341703	Haller, Albrecht von,	1708-1777.	Usong. An eastern narrative. Written in German by Baron Haller. In two volumes. Vol. I.	London	1772	Octavo	In two volumes.	Preface, Footnotes, Errata	0	Third-person			0	0	Translation		Narrative, German, Baron, Volume	Eastern		Usong, Baron Haller	Write			AFD 06/06/2011 Swarthmore College
341704			The vicar of Bray: a tale. Vol. I.	London	1771	Duodecimo		Table of contents	0	Third-person	First-person	Verse	1	0			Vicar, Tale, Volume		Bray					AFD 06/01/2011 Swarthmore College
341706	Potter, John,	fl. 1754-1804.	The virtuous villagers, a novel. In a series of letters. By John Potter, M. B. author of The curate of Coventry, &c. &c. In two volumes. Vol. I.	London	1784	Duodecimo		Advertisement	1	Epistolary			1	1		The curate of Coventry	Villager, Novel, Series, Letter, M. B., Author, Volume	Virtuous, Two		John Potter, M. B.				MJR 6/28/11
341708	Author of The way to loose him.		The way to please him: or the history of Lady Sedley: by the author of the Way to Lose Him. In two volumes.	London	1773	Duodecimo	In two volumes.		0	Third-person			1	0			Way, History, Lady, Author, Volume			Lady Sedley	Please, Lose			AFD 06/06/2011 Swarthmore College
341709			The wedding ring; or, history of Miss Sidney. In a series of letters. In three volumes. Vol. I.	London	1779	Duodecimo	In three volumes.	Preface, Official note	0	Epistolary		Poems, Songs	0	0			Wedding, Ring, History, Miss, Series, Letter, Volume	Three		Miss Sidney		Ring, Letter		MJR 6/17/11
341711			Woodbury: or, the memoirs of William Marchmont, esq. and Miss Walbrook. In letters. In two volumes. Vol. I.	London	1773	Duodecimo	In two volumes.		1	Epistolary			1	0			Memoir, Esq., Miss, Letter, Volume	Two	Woodbury	William Marchmont, esq., Miss Walbrook		Letter		MJR 6/7/11 Swarthmore College
341712	Swift, Jonathan,	1667-1745.	The works of Dr Jonathan Swift, dean of St Patrick's, Dublin. In thirteen volumes. Volume I.	Edinburgh	1774	Duodecimo		Preface, About the author, About the author, Critical essay, Table of contents, Table of contents, Table of contents, Table of contents, Table of contents, Table of contents, Table of contents, Table of contents, Table of contents, Table of contents, Index, Index, Index, Advertisement, Table of contents, Table of contents, Table of contents	1				0	0			Work, Dr, Dean, Volume		St Patrick's, Dublin	Dr Jonathan Swift, dean of St Patrick's				AFD 06/09/2011
341714	Swift, Jonathan,	1667-1745.	The works of Jonathan Swift, D.D: D.S.P.D. with notes historical and critical, by J. Hawkesworth, L.L.D. and others. Vol. I.	Edinburgh	1778.0	Duodecimo		Table of contents, Table of contents, Table of contents, Table of contents, Table of contents, Table of contents, Table of contents, Table of contents, Table of contents, Table of contents, Table of contents, Table of contents, Table of contents, Table of contents, Table of contents, Table of contents, Table of contents, Table of contents, Preface, Index	0				0	0			Work, D.D., D.S.P.D., Note, L.L.D., Other	Historical, Critical		Jonathan Swift, J. Hawkesworth				MJR 6/17/11
341715	Swift, Jonathan,	1667-1745.	The works of Jonathan Swift, D.D:D.S.P.D. With notes historical and critical, by J. Hawkesworth, L. L. D. and others. Vol. X	London	1780	Duodecimo		Table of contents	0				0	0			Work, D. D., D. S. P. D., Note, L. L. D., Other	Historical, Critical		Jonathan Swift, J. Hawkesworth				MJR 6/22/11
341717	Swift, Jonathan,	1667-1745.	The works of Jonathan Swift, D. D: D. S. P. D. With notes historical and critical, by J. Hawkesworth, L. L. D. and others. In eighteen volumes. Vol. I.	London	1781	Duodecimo	In eighteen volumes.	Table of contents, Table of contents, Table of contents, Table of contents, Table of contents, Index, Preface, Essay	0				0	1			Work, D. D., D. S. P. D., Note, L. L. D., Other, Volume	Historical, Critical, Eighteen		Jonathan Swift, J. Hawkesworth				MJR 6/23/11
341720	Swift, Jonathan,	1667-1745.	The works of the reverend Dr. Jonathan Swift, dean of St. Patrick's, Dublin. In twenty volumes. Containing, I. His miscellanies in prose. II. His poetical writings. III. Gulliver's travels. IV. Papers relating to Ireland, and the drapier's letters. V. The conduct of the allies, and the examiners. VI. The publick spirit of the Whigs, &c. and polite conversation. VII. Letters to and from Dr. Swift. VIII. Directions to servants, sermons, poems, &c. IX. Letters; the history of the last session of Parliament, and the peace of Utrecht, &c. X. Sermons and other pieces. XI. Letters, &c. the author's life and poems. XII. History of the four last years of Queen Anne's reign; letters; and sermons, &c. Collected by Deane Swift, esq. XIII. Letters to and from several very eminent persons; poems on various occasions. Collected by Deane Swift, esq. XIV. XV. and XVI. Letters to and from Dr. Swift. With notes by the Rev. T. Birch, D.D.F.R.S. John Hawkesworth, L.L.D. and others. With many original pieces. XVII. XVIII. and XIX. Letters to & from Dr. Swift. Collected by D. Swift, esq. With several originals. XX. Tale of a tub.	Dublin	1772	Octavo	In twenty volumes.	To the reader, Table of contents, Dedication, Advertisement, Table of contents, Advertisement, Letter, To the reader, Table of contents, To the reader, Preface, Index, Preface, Table of contents, Table of contents, Table of contents, To the reader, Table of contents, Table of contents, Table of contents, Table of contents, Letter, To the reader, Preface, Table of contents, Table of contents, Appendix, Appendix, Appendix, Poem, Table of contents, Index, Table of contents, Index, Table of contents, Index, Apology, Postscript, Dedication, To the reader, Dedication, Preface	1	Third-person	First-person, Letters	Poems, sheet music	1	0			Work, Reverend, Dr., Dean, St., Volume, Miscellany, Prose, Writing, Travel, Pape, Letter, Conduct, Ally, Examiner, Spirit, Whig, Conversation, Direction, Servant, Sermon, Poem, History, Session, Parliament, Peace, Piece, Author, Life, Year, Queen, Reign, Esq., Person, Occasion, Note, D.D.F.R.S., L.L.D., Other, Original, Tale, Tub, Prediction, Month, Day, Action, Event, People, Almanack-maker, Surgeon, Captain, Ship, Nation, World, Part, Voyage, Country	Drapier, Twenty, Poetical, Publick, Polite, Last, Other, Four, Several, Eminent, Various, Many, Original, Great, Vulgar, Several, Remote, Four	St. Patrick's, Dublin, Ireland, Utrecht, England, Lilliput, Brobdingnag, Laputa, Balnibarbi, Luggnagg, Glubbdubdrib, Japan	Dr. Jonathan Swift, Gulliver, Dr. Swift, Queen Anne, Deane Swift, esq., Rev. T. Birch, John Hawkesworth, D. Swift, esq., Isaac Bickerstaff, esq., Lemuel Gulliver, Houyhnhnm	Contain, Relate, Collect, Set, Name, Relate, Will, Come, Pass, Write, Prevent, Be, Impose	Paper, Letter	Very, Particularly, Farther, First	MJR 6/8/11
341722			The younger brother, a tale.	London	1770	Duodecimo		Table of contents, Footnotes	1	First-person	Letters	Verse, Songs	0	0			Brother, Tale, Volume	Younger, First, Second						NA 5/20/11 Swarthmore College
360997	Haywood, Eliza Fowler,	1693?-1756.	The distressed orphan, or love in a mad house; containing an account of her being left to the care of an uncle who would have married her contrary to her inclination, to his own son, and on her refusal to comply, and having fixed her heart on a colonel, she was sent to a mad-house, where she continued till her faithful lover sham'd himself mad, and by that means obtained her liberty. Interspersed with a great many entertaining letters. [epigraph]. Written by herself, after her happy union with the colonel.	London		Duodecimo			1	Third-person	Letters		1	0			Orphan, Love, Mad house, Account, Care, Uncle, Inclination, Son, Refusal, Heart, Colonel, Lover, Liberty, Letter, Herself, Union	Distressed, Left, Contrary, Faithful, Mad, Great, Many, Entertaining, Happy			Contain, Marry, Comply, Fix, Continue, Sham, Obtain, Intersperse, Written	Letter		NA 5/20/11 Swarthmore College
361053			The memoirs of Miss Arabella Bolton. Containing a genuine account of her seduction, and the barbarous treatment she afterwards received from the honourable C--- L-----, the present suposed M-----r for the County of Middlesex. With various other misfortunes and embarrassments, into which this unhappy young woman has been cruelly involved through the vicissitudes of life, and the villainy of her seducer. The whole taken from the original letters of the said C--- L----- to Dr. Kelly, who attended her in the greatest misfortunes and distresses under which she laboured; And also from several original letters from Doctor Kelly and Miss Bolton, and from other authenticated papers in the hands of the publisher.	London	1770	Duodecimo		To the reader, Table of contents	1	Third-person	Letters	Verse	1	0			Memoir, Miss, Account, Seduction, Treatment, She, County, Misfortune, Embarrassment, Woman, Vicissitude, Life, Villainy, Seducer, Whole, Letter, Dr., Misfortune, Distress, Letter, Paper, Hand, Publisher	Genuine, Barbarous, Honourable, Present, Supposed, Various, Other, Unhappy, Young, Original, Said, Greatest, Several, Original, Other, Authenticated	Middlesex	Miss Arabella Bolton, C--- L-----, Dr. Kelly		Paper		AFD 5/20/11 Swarthmore College
374838	Bacon, Delia Salter,	1811-1859.	The bride of Fort Edward	New York	1839.0	Duodecimo		Copyright statement, Preface, Character information, Table of contents	0	Dramatic dialogue			0	0			bride, incident, revolution		Fort Edward		found			MFC 6 /7/12 Bryn Mawr College
374841	Bokum, Hermann,	1807-1878.	Never despair : a tale of the emigrants. Founded on fact.	New York	1837.0	Duodecimo		Copyright statement, Dedication, Preface, Official note	1	Third-person		Poems	0	1			Tale, Emigrant, Immigrant, Fact				Despair, Found		Never	BE 6/7/12 Swarthmore College
374924			Admiral Lowe	New York	1839	Duodecimo		Copyright statement	0	Third-person			1	0			Brigantine, Tale, Century	17th, American		Admiral Lowe				CP 7/3/12 Swarthmore College
374930	Brownson, Orestes Augustus,	1803-1876.	Infidel converted	Boston	1840.0	Octavo		Copyright statement, Preface, Table of contents, Introduction	0	First-person			1	0			Infidel			Charles Elwood, O.A. Brownson	Convert			CP 6 /21/12 Swarthmore College
374933	Bradbury, Osgood.		Mysteries of Lowell	Boston	1844.0			Copyright statement	0				1	0			Mystery		Lowell					CP 6/21/12 Swarthmore College
374934	Briggs, Charles F.	1804-1877.	Life in a liner	New York	1844	Octavo		Copyright statement	0	First-person			0	0			Passage, Life, Liner, Benefit, Traveler	Young		B.C.F	Work, Publish			CP 6/21/12 Swarthmore College
374935	Ashby,		Bankrupt and broker	Boston	1845	Octavo		Copyright statement, Introduction, Conclusion	0	Third-person			0	0			Bankrupt, Broker, Tale, Professor		New-England	Helen Howard, Ashby				MFC 6/25/12 Bryn Mawr College
374936			Autobiography of a reformed drunkard	Philadelphia	1845	Duodecimo		Copyright statement, Table of contents, Dedication, Advertisement	0	Epistolary			0	0			Autobiography, Drunkard, Recollection, Inmate, Alms-house, Illustration				Reform	Letter		MFC 7/2/2012 Bryn Mawr College
374937	Ballou, Maturin Murray,	1820-1895.	Female pirate captain	New York	1844			Advertisement, Copyright statement	0	Third-person			1	0			Lieutenant, Female, Pirate, Captain, Tale, Revolution			Fanny Campbell, Lieutenant Murray				CP 6/25/12 Swarthmore College
374938	Ballou, Maturin Murray,	1820-1895.	Midshipman's revenge	Boston	1845	Octavo		Copyright statement, Dedication, Preface	0	Third-person			0	0		The smuggler‚Äôs child, The phantom rock, Tale of Manhattan, The highwayman, The two purses, &c	Midshipman, Revenge, Tale, Land, Sea, Author			Albert Simmons, Frank Forester				MFC 6/25/12 Bryn Mawr College
374939	Ballou, Maturin Murray,	1820-1895.	Female pirate captain	Boston	1845			Copyright statement, Preface	0	Third-person		Song	0	0			Pirate, Captain, Tale, Revolution, Lieutenant	Female		Fanny Campbell, Lieutenant Murray				CP 06/27/2012 Swarthmore College
374940	Ballou, Maturin Murray,	1820-1895.	"The naval officer; or, the pirate's cave.  A tale of the last war.  By Lieutenant Murray.  Author of ""Fanny Campbell, the female pirate captain."	Boston	1845			Preface, Copyright statement	0	Third-person			0	0		Fanny Campbell, the female pirate captain.	Officer, Pirate, Cave, Tale, War, Lieutenant, Author	Naval, Last	Murray					MFC 6/25/12 Bryn Mawr College
374941	Barker, B.		White nun of the wilderness	Boston	1845.0			Copyright statement, Introduction	0	Third-person	Letter	Poem	0	0		Mary Morland, Francisco, or the pirate of the Pacific.	Nun, Wilderness, Romance, Love, Intrigue, Esq., Author	White		Cecilia, Benjamin Barker				CP 6/26/12 Swarthmore College
374942	Barker, B.		Hermit of the crags	Boston	1845			Copyright statement, Introduction	0	Third-person	Letter	Song, Poem	0	0		Mary Morland, Francisco, or the pirate of the Pacific	Hermit, Crag, Romance, War, Esq., Author	Last		Emily  Elwood, Benjamin Barker				CP 6/26/12 Swarthmore College
374943	Barker, B.		Fortunes and misfortunes of an orphan	Boston	1845	Octavo		Copyright statement, Introduction	0	Third-person			0	0		Zoraida, or the witch of Naumkeag	Fortune, Misfortune, Orphan, Author			Mary Morland, Benjamin Barker				CP 6/26/12 Swarthmore College
374945	Ballou, Maturin Murray,	1820-1895.	"The child of the sea, or the smuggler of colonial times. And the love test. By Lieutenant Murray, Author of ""Fanny Campbell, the female pirate captain,"" ""The naval officer, or the pirate's cave,"" ""Red Rupert, the American Buccanier,"" and other tales."	Boston	1846.0	Octavo		Copyright statement, Preface	0	Third-person			0	0		Fanny Campbell, the female pirate captain, The naval officer, or the pirate's cave, Red rupert, the American buccanier	Child, Sea, Smuggler, Time, Love, Test, Author, Tale	Colonial, Other		Lieutenant Murray				CP 6/26/12 Swarthmore College
374947	Bradbury, Osgood.		Wandering heiress	Boston	1845.0				0				0	0			Heiress			Monira, Bradbury Osgood	Wander			CP 6/26/12 Swarthmore College
374948	Barker, B.		Clarida: or, the female pickpocket. A romance of New York City. By B. Barker, Esq. Author of 'Lily of Lexington,' 'Emily Elwood,' 'Mornilva,' &c.	Boston	1846.0			Copyright statement, Conclusion	0	Third-person			0	0		Lily of Lexington, Emily Elwood, Mornilva	Pickpocket, Romance, Esq., Author	Female	New York	Clarilda, B. Barker				CP 6/26/12 Swarthmore College
374949	Ballou, Maturin Murray,	1820-1895.	100 dollar prize tale	Boston	1847	Octavo		Copyright statement, Preface, Advertisement	0	Third-person	Epistolary	Song(s)	0	0		Fanny Campbell, The Spanish Musketeer, Roderick the Rover	Dollar, Prize, Tale, Gipsey, Robber, Story, Love, Pride, Author	100	Naples	Lieutenant Murray				CP 7/2/12 Swarthmore College
374950	Ballou, Maturin Murray,	1820-1895.	Spirit of the wave	Boston	1847.0	Octavo		Copyright statement, Preface	0	Third-person			0	0		Fanny Campbell, the female pirate captain, Red Rupert, the American buccaneer, The naval officer, The Spanish musketeer	Prize, Tale, Rover, Spirit, Wave, Lieutenant, Author			Roderick, Lieutenant Murray		$100		CP 6/28/12 Swarthmore College
374952	Ballou, Maturin Murray,	1820-1895.	100 dollar prize tale	Boston	1847.0	Octavo		Copyright statement, Preface, Advertisement	0	Third-person	Epistolary		0	0		Fanny Campbell, the female pirate captain, Red Rupert, the American bucaneer, The naval officer	Dollar, Prize, Musketeer, Life, Author	100, Tale, Spanish, Military		Lieutenant Murray				MFC 7/2/12 Bryn Mawr College
374953	Bird, Robert Montgomery,	1806-1854.	Knight of the conquest	Philadelphia	1847.0	Duodecimo	In two volumes	Copyright statement, Preface, Introduction, Note	1	Third-person		Poems	0	0		The infidel	Knight, Conquest, Romance, Author, Edition, Volume	New, Two	Mexico	Calavar, R.M. Bird				CP 7/2/12 Swarthmore College
374956	Bryant, John D.	1811-1877.	Pauline Seward. A tale of real life, by John D. Bryant. [Epigraph.] In two volumes. Vol. I. Third Edition.	Baltimore	1847	Duodecimo	In two volumes	Copyright statement, Preface, Note, Advertisement	1	Third-person		Poem	0	0			Tale, Life, Volume, Edition, Religion, Maid, Tear, Love, Hate, Thee	Real, Two, Third		Pauline Seward, John D. Bryant	Shed		Heavenly	CP 7/2/12 Swarthmore College
374957	Ashland, Aria.		Fortunes of the Catherwoods	Boston	1848.0	Octavo		Copyright statement	0	Third-person			0	0			Fortune	Dark		Sybil, Catherwoods, Aria Ashland				MFC 6/28/2012 Bryn Mawr College
374958	Ballou, Maturin Murray,	1820-1895.	Red Rupert, the American Buccaneer. A tale of the Spanish Indies. By Lieutenant Murray, author of Fanny Campbell, the Female Pirate Captain; Roderick the rover; The naval officer; The Spanish Musketeer; The adventurer, etc. etc.	Boston	1848.0	Octavo		Copyright statement, Dedication, Preface	0	Third-person		Song(s)	0	0		Fanny Campbell, the female pirate captain, Roderick the rover, The naval officer, The Spanish musketeer, The adventurer	Buccaneer, Tale, Author	American	Spanish Indies	Red Rupert, Lieutenant Murray				MFC 6/29/12 Bryn Mawr College
374959	Bennett, Emerson,	1822-1905.	"Kate Clarendon: or, necromancy in the wilderness. A tale of the little Miami. By Emerson Bennett, author of ""The bandits of the Osage,"" ""Renegade,"" ""Mike Fink,"" ""Unknown Countess,"" &c., &c."	Cincinnati :	1848.0	Octavo		Copyright statement	1	Third-person		Poem	0	0		The bandits of the Osage, Renegade, Mike Fink, Unknown countess	Necromancy, Wilderness, Tale, Miami, Author	Little		Kate Clarendon, Emerson Bennett				MFC 6/28/12 Bryn Mawr College
374961	Ballou, Maturin Murray,	1820-1895.	Albert Simmons	Boston	1849.0			Copyright statement, Preface	0	Third-person	First-person		0	0			Midshipman, Revenge, Tale, Land, Sea, Lieutenant			Albert Simmons, Murray				CP 6/27/12 Swarthmore College
374962	Ballou, Maturin Murray,	1820-1895.	Roderick the rover	Boston	1849.0	Octavo		Copyright statement, Preface, Official note	0	Third-person			0	0			Rover, Spirit, Wave, Lieutenant			Roderic, Lieutenant Murray				CP 6/28/12 Swarthmore College
374963	Ballou, Maturin Murray,	1820-1895.	The Spanish musketeer. A tale of military life. By Lieutenant Murray.	Boston	1849.0	Octavo		Copyright statement, Preface, Official note	0	Third-person	Letters		0	0			Musketeer, Tale, Military, Life, Lieutenant	Spanish		Lieutenant Murray				CP 6/27/12 Swarthmore College
375219	Batchelder, Eugene,	1822-1878.	A romance of the sea-serpent, or the icthyosaurus. Also, a collection of the ancient and modern authories, with letters from distinguished merchants and men of science. [Epigraph.]	Cambridge	1849.0	Octavo		Copyright statement, Preface, Table of contents, Note, Appendix, Essay	1	Third-person	Epistolary	Song(s)	0	0			Romance, Sea-Serpent, Ichthyosaurus, Collection, Authority, Letter, Merchant, Men, Science	Ancient, Modern, Distinguished				Letter		CP 7/16/12 Swarthmore College
375220	Briggs, Emily Edson,	1831-1910.	Ellen Parry; or, trials of the heart. By Olivia.	New York	1850.0	Duodecimo		Advertisement, Advertisement, Copyright statement, Advertisement, Advertisement, Advertisement, Advertisement, Advertisement, Advertisement, Advertisement	1	Third-person		Poems	1	0			Trial, Heart			Ellen Parry, Olivia				MFC 7/2/2012 Bryn Mawr College
375221	Ballou, Maturin Murray,	1820-1895.	Pirate's cave	Boston	1852	Octavo		Copyright statement, Preface, Advertisement	0	Third-person	Letters		0	0			Officer, Pirate, Cave, Story, War, Lieutenant	Naval, Thrilling, Last	Lieutenant Murray					CP 7/2/2012 Swarthmore College
375224	Bacon, Delia Salter,	1811-1859.	Tales of the puritans. The regicides.--The fair pilgrim.--Castine.	New Haven	1831	Duodecimo		Copyright statement, Appendix	1	Third-person			0	0			Tales, Purtian, Regicide, Pilgrim	Fair		Castine				MFC 6/13/12 Bryn Mawr College
375225			The Atlantic club-book: being sketches in prose and verse, by various authors.  In two volumes.  Vol. II.	New York	1834.0	Duodecimo	In two volumes	Table of contents, Copyright statement	1			Poems, Essays	0	0			Club-Book, Sketch, Prose, Verse, Author, Volume	Various, Two	Atlantic		Be			MFC 6/19/12 Bryn Mawr College
375230	Bache, Anna.		Fire screen	Philadelphia	1841	Duodecimo		Copyright statement, Dedication, Introduction, Table of contents, Advertisement	1	First-person	Epistolary	Poem(s)	0	0			Fire-screen, Mrs., Eyes	Domestic		Anna Bache, Mrs. Anna Bache	Make, Shut	Sketch, Picture		CP 06/20/2012 Swarthmore College
375233	Brown, John Walker,	1814-1849	Julia of Baiae: a tale of the days of Nero.	New York	1843., MDCCCXLIII.	Duodecimo		Copyright statement, Dedication, Table of contents, Errata, Note	1	Third-person		Verse	0	0		The Merchant's Daughter, Virginia, Christmas Bells	Day, Story, Martyr, Author		Baiae	Julia, Julia of Baiae, Nero				AFD 06/21/2012 Swarthmore College
375235	Ballou, Maturin Murray,	1820-1895.	Female pirate captain	Boston	1849	Octavo		Copyright statement, Preface	0	Third-person		Song(s)	0	0			Pirate, Captain, Tale, Revolution, Lieutenant	Female		Fanny Campbell, Lieutenant Murray				CP 06/27/2012 Swarthmore College
